"Base Salary","beauty","A/90min","G/90min","age","designated","Club.y","season","continent","bonus"
85000,0.421896510559926,0,0,25,0,"DAL",2017,"North America",17083
65000,0.42689701821847,0,0,28,0,"NE",2017,"North America",18750
69458,0.145750113515525,0.63,1.27,26,0,"CLB",2017,"North America",12500
65004,0.840171105625008,0.06,0.19,26,0,"LAFC",2017,"Africa",9375
65004,0.427803737741188,0,0,28,0,"VAN",2017,"North America",1845
66150,0.4834764794199,0.32,0.71,26,0,"MTL",2017,"North America",0
65625,0.671513281971213,0,0,28,0,"MIN",2017,"North America",0
65625,0.676172803401322,0.13,0.25,29,0,"LA",2017,"North America",0
65004,0.592389734630648,0,0,23,0,"KC",2017,"North America",0
53000,0.259328320478577,0,0,19,0,"DC",2017,"South America",4476
54075,0.551666685987449,0,0.35,20,0,"LA",2017,"North America",0
53004,0.16540440978586,0,0,28,0,"DAL",2017,"North America",0
53000,0.539154421651085,0,4.74,21,0,"DAL",2017,"South America",0
5600000,0.738014352238583,0.56,0.63,30,1,"TOR",2016,"Europe",1515556
5610000,0.56995441402481,0.13,0.72,34,1,"NYC",2016,"Europe",0
4825000,0.786695661498635,0.3,0.61,30,1,"TOR",2016,"North America",0
1666667,0.583069772385229,0.33,0.55,28,1,"CIV",2016,"Africa",525000
1200000,0.450684001213863,0.1,0,36,1,"SEA",2016,"South America",255000
988000,0.43132909364072,0,0,29,1,"SJ",2016,"Africa",312000
7e+05,0.439536357633829,0.23,0.42,25,1,"CLB",2016,"Africa",70938
640000,0.234170055836944,0.07,0.54,30,1,"CIN",2016,"Africa",72500
5e+05,0.33456354230514,0.1,0.51,28,1,"ORL",2016,"Europe",118750
420000,0.118409510128538,0.3,0.61,30,1,"DC",2016,"North America",115500
425000,0.264961633662317,0.1,0.77,26,0,"CLB",2016,"Europe",32500
310000,0.408567977102156,0.1,0.2,29,0,"VAN",2016,"other",60000
310000,0.377686860455866,0.17,0.23,32,0,"SEA",2016,"North America",1667
247000,0.456349782848754,0.16,0.16,26,0,"DC",2016,"North America",13667
205000,0.207090687042956,0.11,0.11,30,0,"NE",2016,"North America",45000
228500,0.752564568031447,0,0,30,1,"RBNY",2016,"other",0
225000,0.959009244995541,0.07,0.25,29,0,"CHI",2016,"North America",0
178000,0.330736496938803,0.13,0.38,23,0,"SEA",2016,"North America",12500
170000,0.245751766620161,0.13,0.38,31,0,"LA",2016,"North America",0
125000,0.559363738916665,0.4,0.23,26,0,"NYC",2016,"Europe",35500
137750,0.455556677914391,0.06,0.36,31,0,"SKC",2016,"North America",6875
96250,0.289101493256438,0.21,0.56,30,0,"TOR",2016,"North America",30000
86092,0.189381845014961,0.15,0.15,26,0,"SKC",2016,"North America",35000
80000,0.813642397595939,0.24,0.36,30,0,"ORL",2016,"North America",17500
77000,0.787853324668552,0.7,0.31,28,0,"NYC",2016,"North America",17500
70000,0.421896510559926,0,0,25,0,"DAL",2016,"North America",17083
85000,0.207871653967209,0.08,0.21,32,0,"CHI",2016,"South America",0
85000,0.929274970350998,0.09,0.51,25,1,"HOU",2016,"South America",0
75000,0.718807075878137,0,0,30,0,"COL",2016,"North America",7500
63000,0.64577499309398,0,0.68,28,0,"TOR",2016,"North America",18333
66150,0.145750113515525,0.1,0.3,26,0,"CLB",2016,"North America",12500
63000,0.4834764794199,0,0.53,26,0,"MTL",2016,"North America",0
62500,0.676172803401322,0,0,29,0,"LA",2016,"North America",0
62500,0.671513281971213,0,0,28,0,"RBNY",2016,"North America",0
51500,0.40783612867299,0,0.52,28,0,"DC",2016,"Africa",8250
51504,0.852903780842879,0,0,23,0,"SEA",2016,"North America",0
51500,0.246504257845487,0,0,25,0,"CHI",2016,"North America",0
51500,0.551666685987449,0,0,20,0,"LA",2016,"North America",0
5600000,0.738014352238583,0.52,0.71,30,1,"TOR",2015,"Europe",1515556
5610000,0.56995441402481,0.29,0.64,34,1,"NYC",2015,"Europe",0
4750000,0.786695661498635,0,0.65,30,1,"TOR",2015,"North America",0
1666668,0.583069772385229,0.1,1.14,28,1,"CIV",2015,"Africa",5e+05
988000,0.43132909364072,0,0.18,29,1,"SJ",2015,"Africa",312000
960000,0.450684001213863,0.22,0.22,36,1,"SEA",2015,"South America",255000
890850,0.0851691826051304,0.1,0.33,29,1,"VAN",2015,"South America",0
650000,0.439536357633829,0.1,0.48,25,1,"CLB",2015,"Africa",70938
651500,0.234170055836944,0.12,0.67,30,1,"CIN",2015,"Africa",12500
4e+05,0.33456354230514,0.07,0.42,28,1,"ORL",2015,"Europe",118750
4e+05,0.118409510128538,0,0.34,30,1,"DC",2015,"North America",93333
338000,0.762059203637672,0.19,0.39,30,1,"DAL",2015,"South America",0
220000,0.322904214364331,0,0,33,0,"MTL",2015,"North America",65625
225000,0.764793642600598,0.18,0.12,30,0,"TOR",2015,"North America",30500
195000,0.207090687042956,0.25,0.2,30,0,"NE",2015,"North America",45000
215000,0.517068516107271,0.43,0.14,31,0,"TOR",2015,"Europe",20500
140000,0.377686860455866,0.15,0.41,32,0,"SEA",2015,"North America",45000
175000,0.522899428294625,0.47,0.33,32,1,"DC",2015,"South America",0
175000,0.245751766620161,0,0.46,31,0,"LA",2015,"North America",0
150000,0.42839838432086,0.14,0.36,31,0,"DC",2015,"North America",15000
125000,0.959009244995541,0.19,0.43,29,0,"CHI",2015,"North America",17000
123500,0.455556677914391,0.13,0.07,31,0,"KC",2015,"North America",6875
78265,0.189381845014961,0,0,26,0,"SKC",2015,"North America",35000
80000,0.289101493256438,0.35,0.52,30,0,"TOR",2015,"North America",30000
1e+05,0.533645177792005,0,0,28,0,"LA",2015,"North America",6250
1e+05,0.456349782848754,0.2,0.25,26,0,"DC",2015,"North America",0
1e+05,0.394873342969402,0,4.19,31,0,"VAN",2015,"Africa",0
70000,0.813642397595939,0.06,0.3,30,0,"ORL",2015,"North America",17500
70000,0.787853324668552,0.11,0.11,28,0,"NYC",2015,"North America",17500
60000,0.421896510559926,0,0,25,0,"DAL",2015,"North America",17083
63000,0.145750113515525,0,0,26,0,"CLB",2015,"North America",12500
65004,0.207871653967209,0.15,0,32,0,"COL",2015,"South America",0
60000,0.345409340659988,0,0.42,26,0,"CLB",2015,"North America",0
60000,0.184464253707626,0,0,29,0,"HOU",2015,"North America",0
60000,0.929274970350998,0,0,25,1,"HOU",2015,"South America",0
60000,0.4834764794199,0,0,26,0,"MTL",2015,"North America",0
60000,0.568235969962676,0,0,30,0,"SEA",2015,"North America",0
50000,0.334558253702585,0,0,23,0,"SEA",2015,"Africa",3500
3750000,0.675119407302701,0.48,0.34,30,1,"RBNY",2014,"Europe",6e+05
1500000,0.396996114044174,0.21,0.47,35,1,"MTL",2014,"Europe",1100000
580800,0.234170055836944,0.24,0.54,30,1,"CIN",2014,"Africa",12500
360000,0.118409510128538,0.16,0.63,30,1,"RSL",2014,"North America",93333
338000,0.762059203637672,0,0.43,30,1,"DAL",2014,"South America",0
325000,0.533645177792005,0.08,0.16,28,0,"COL",2014,"North America",0
2e+05,0.322904214364331,0.36,0.27,33,0,"SEA",2014,"North America",65625
250000,0.315581917870848,0.1,0.1,33,0,"SJ",2014,"North America",7500
215000,0.764793642600598,0,0.12,30,0,"RSL",2014,"North America",30500
135000,0.207090687042956,0.22,0.15,30,0,"NE",2014,"North America",98000
225000,0.379623816236444,0,0.43,34,1,"KC",2014,"South America",0
185000,0.245751766620161,0.08,0.38,31,0,"LA",2014,"North America",21667
204000,0.394873342969402,0,1.55,31,0,"CHI",2014,"Africa",2250
175000,0.927109554130917,0,0.38,28,1,"CHI",2014,"South America",0
127500,0.377686860455866,0.04,0.43,32,0,"SEA",2014,"North America",45000
150000,0.522899428294625,0.38,0.47,32,1,"DC",2014,"South America",0
144000,0.745371693276407,0,0.38,25,1,"HON",2014,"North America",0
143000,0.844186423177028,0,0.23,23,0,"VAN",2014,"South America",0
1e+05,0.238178049250306,0,0,26,0,"VAN",2014,"North America",41869
135000,0.42839838432086,0.07,0.36,31,0,"CLB",2014,"North America",0
120000,0.517068516107271,0.17,0.25,31,0,"CHV",2014,"Europe",8333
112500,0.352669676983505,0,0,30,0,"NE",2014,"Africa",9875
110000,0.455556677914391,0.14,0.14,31,0,"KC",2014,"North America",4833
95000,0.959009244995541,0,0.22,29,0,"CHI",2014,"North America",17000
70000,0.289101493256438,0.08,0.3,30,0,"TOR",2014,"North America",30000
80000,0.33456354230514,0.03,0.73,28,1,"ORL",2014,"Europe",12500
85000,0.915703209846628,0.24,0,31,0,"LA",2014,"North America",6000
51150,0.189381845014961,0.15,0.25,26,0,"SKC",2014,"North America",35000
60000,0.145750113515525,0,0,26,0,"CLB",2014,"North America",12500
65000,0.475191460089692,0,0,26,0,"SEA",2014,"North America",5000
48504,0.421896510559926,0,0,25,0,"DAL",2014,"North America",17083
60000,0.456349782848754,0.18,0.28,26,0,"DC",2014,"North America",0
48500,0.0623455543069643,0,0,27,0,"NE",2014,"North America",2833
48504,0.362552828436412,0,0,27,0,"SEA",2014,"North America",500
48825,0.345409340659988,0.12,0.36,26,0,"CLB",2014,"North America",0
48500,0.19805693350692,0,0,30,0,"CHI",2014,"North America",0
48500,0.813642397595939,0.15,0.36,30,0,"ORL",2014,"North America",0
48500,0.184464253707626,0,0,29,0,"LA",2014,"North America",0
36504,0.448339024591056,0.58,0.58,23,0,"CHV",2014,"North America",0
36504,0.4834764794199,0,0,26,0,"MTL",2014,"North America",0
3750000,0.675119407302701,0.32,0.36,30,1,"RBNY",2013,"Europe",6e+05
1000008,0.396996114044174,0.07,0.66,35,1,"MTL",2013,"Europe",937500
1250000,0.717019669090789,0,0,31,1,"TOR",2013,"Europe",413323
360000,0.118409510128538,0.13,0.8,30,1,"RSL",2013,"North America",93333
325000,0.322904214364331,0.05,0.31,33,0,"DAL",2013,"North America",17500
275000,0.533645177792005,0.16,0.27,28,0,"COL",2013,"North America",0
216000,0.42839838432086,0.19,0.15,31,0,"CLB",2013,"North America",9375
210000,0.315581917870848,0.14,0.27,33,0,"SJ",2013,"North America",7500
110000,0.207090687042956,0.42,0,30,0,"NE",2013,"North America",98000
175000,0.764793642600598,0.14,0.43,30,0,"RSL",2013,"North America",30500
2e+05,0.379623816236444,0.17,0.43,34,1,"KC",2013,"South America",0
175000,0.245751766620161,0.19,0.25,31,0,"SJ",2013,"North America",21667
120000,0.377686860455866,0.24,0.28,32,0,"SEA",2013,"North America",45000
125000,0.475191460089692,0.15,0.15,26,0,"CHV",2013,"North America",31364
138000,0.394873342969402,0,0.38,31,0,"TOR",2013,"Africa",17150
150000,0.522899428294625,0.09,0.39,32,1,"RBNY",2013,"South America",0
144704,0.616522286071061,0.2,0.46,28,0,"POR",2013,"North America",0
132000,0.745371693276407,0,0.09,25,1,"HON",2013,"North America",6840
120000,0.927109554130917,0.11,0.21,28,1,"CHI",2013,"South America",0
116000,0.0793517179284094,0,0,35,0,"CHV",2013,"North America",0
112200,0.587160578853102,0.23,0.23,26,0,"TOR",2013,"North America",2500
1e+05,0.362552828436412,0,0.25,27,0,"HOU",2013,"North America",8407
1e+05,0.455556677914391,0.11,0,31,0,"KC",2013,"North America",4833
80000,0.676172803401322,0.32,0.16,29,0,"LA",2013,"North America",21000
90000,0.352669676983505,0.35,0.26,30,0,"NE",2013,"Africa",9875
75000,0.959009244995541,0.12,0.23,29,0,"CHI",2013,"North America",17000
72000,0.726070939252346,0.11,0.23,29,0,"MTL",2013,"Europe",15000
46500,0.189381845014961,0.37,0,26,0,"SKC",2013,"North America",35000
65000,0.33456354230514,0.27,0.27,28,1,"ORL",2013,"Europe",12500
67595,0.0623455543069643,1.34,0,27,0,"COL",2013,"North America",0
57750,0.426984655396109,0,0,28,0,"MTL",2013,"Europe",0
46500,0.456349782848754,0,0.9,26,0,"DC",2013,"North America",0
46500,0.19805693350692,0,0,30,0,"CHV",2013,"North America",0
46500,0.345409340659988,0.29,0.29,26,0,"CLB",2013,"North America",0
46500,0.576247935487866,0,0,28,0,"SJ",2013,"North America",0
46500,0.456916105043259,0,0,28,0,"CIN",2013,"North America",0
35125,0.539297432542303,0,0.23,24,0,"CHV",2013,"North America",0
35125,0.7920915667798,0,0.6,28,0,"LA",2013,"North America",0
5e+06,0.675119407302701,0.51,0.64,30,1,"RBNY",2012,"Europe",6e+05
1000008,0.396996114044174,0.2,0.33,35,1,"MTL",2012,"Europe",937500
1150000,0.717019669090789,0.15,0.68,31,1,"TOR",2012,"Europe",413323
1250000,0.731617337054344,0.05,0.33,31,1,"POR",2012,"Europe",265000
6e+05,0.713265271922306,0.28,0.45,27,1,"VAN",2012,"South America",156000
305460,0.940553549075409,0,0.57,32,1,"DC",2012,"Europe",182000
360000,0.34924878495671,0.35,0.35,25,1,"CHI",2012,"Europe",127125
350000,0.118409510128538,0.11,0.64,30,1,"RSL",2012,"North America",55625
275000,0.322904214364331,0.11,0.65,33,0,"RBNY",2012,"North America",17500
216000,0.42839838432086,0.23,0.53,31,0,"CLB",2012,"North America",9375
225000,0.533645177792005,0.09,0.28,28,0,"LA",2012,"North America",0
1e+05,0.207090687042956,0.07,0.36,30,0,"NE",2012,"North America",98000
180000,0.315581917870848,0.11,0.55,33,0,"SJ",2012,"North America",7500
137813,0.616522286071061,0.16,0.23,28,0,"TOR",2012,"North America",0
90000,0.377686860455866,0.14,0.43,32,0,"SEA",2012,"North America",45000
90000,0.238178049250306,0.23,0,26,0,"VAN",2012,"North America",41869
1e+05,0.475191460089692,0.73,0,26,0,"CHV",2012,"North America",31364
125000,0.522899428294625,0.27,0.35,32,1,"RSL",2012,"South America",0
110000,0.245751766620161,0.49,0.9,31,0,"SJ",2012,"North America",10000
106400,0.810395825527278,0.18,0.43,35,0,"DC",2012,"South America",7433
98175,0.362552828436412,0,0,27,0,"HOU",2012,"North America",8250
102000,0.587160578853102,0.15,0,26,0,"MTL",2012,"North America",2500
70000,0.676172803401322,0,0,29,0,"LA",2012,"North America",21000
65000,0.184464253707626,0,0,29,0,"PHI",2012,"North America",26000
87500,0.793495843112829,0,0,36,0,"VAN",2012,"Europe",0
81000,0.455556677914391,0.1,0.38,31,0,"KC",2012,"North America",4833
60000,0.714075077590215,0,0.43,22,0,"DAL",2012,"North America",24792
65000,0.959009244995541,0.08,0.37,29,0,"CHI",2012,"North America",17000
80004,0.643270300014656,0.4,0,35,0,"DC",2012,"North America",0
60000,0.33456354230514,0,0,28,1,"ORL",2012,"Europe",12500
70000,0.826771692026935,0,0.52,32,0,"LA",2012,"North America",0
57200,0.0623455543069643,0,0.62,27,0,"COL",2012,"North America",0
55000,0.426984655396109,0,0.55,28,0,"MTL",2012,"Europe",0
44100,0.60455908502758,0.89,0.89,21,0,"DAL",2012,"North America",0
44100,0.456349782848754,0.15,0.15,26,0,"DC",2012,"North America",0
44000,0.816042327036149,0,0,43,0,"MTL",2012,"North America",0
44000,0.45615111570264,0,0,25,0,"VAN",2012,"North America",0
33750,0.326418739326358,0.23,0,30,0,"CHV",2012,"North America",0
33750,0.345409340659988,0.3,0,26,0,"CLB",2012,"North America",0
5e+06,0.675119407302701,0.16,0.56,30,1,"RBNY",2011,"Europe",6e+05
999996,0.717019669090789,0.12,0.95,31,1,"TOR",2011,"Europe",413323
5e+05,0.713265271922306,0.35,0.47,27,1,"VAN",2011,"South America",156000
400008,0.971916003060286,0,0,28,1,"VAN",2011,"Africa",26875
250000,0.118409510128538,0.09,0.51,30,1,"RSL",2011,"North America",55625
250000,0.322904214364331,0.07,0.28,33,0,"POR",2011,"North America",17500
85000,0.207090687042956,0.15,0.46,30,0,"NE",2011,"North America",98000
160000,0.643270300014656,0.33,0.23,35,0,"DC",2011,"North America",0
142500,0.455556677914391,0.18,0,31,0,"SJ",2011,"North America",8275
131250,0.616522286071061,0.17,0.13,28,0,"SJ",2011,"North America",0
126000,0.810395825527278,0.09,0.36,35,0,"DAL",2011,"South America",0
80000,0.377686860455866,0.05,0.27,32,0,"SEA",2011,"North America",45000
80000,0.238178049250306,0.18,0.18,26,0,"VAN",2011,"North America",41869
75000,0.475191460089692,0,0,26,0,"CHV",2011,"North America",31364
90000,0.363311141928984,0,0,30,0,"NE",2011,"Africa",9000
89250,0.362552828436412,0.06,0.22,27,0,"HOU",2011,"North America",8250
96504,0.245751766620161,0.12,0.61,31,0,"SJ",2011,"North America",0
85000,0.587160578853102,0.22,0.35,26,0,"CHV",2011,"North America",2500
65004,0.61120988543498,0.69,0,29,0,"POR",2011,"Africa",20000
55000,0.714075077590215,0.22,0.22,22,0,"DAL",2011,"North America",24792
55000,0.676172803401322,0,1,29,0,"LA",2011,"North America",21000
75000,0.522899428294625,0.13,0.43,32,1,"RSL",2011,"South America",0
42000,0.597848071533537,0,0.28,25,0,"CHV",2011,"South America",10000
48000,0.0623455543069643,0,0.19,27,0,"COL",2011,"North America",0
48000,0.826771692026935,0,0,32,0,"SEA",2011,"North America",0
45000,0.315581917870848,0.23,0.39,33,0,"SJ",2011,"North America",2333
42000,0.456349782848754,0.18,0.18,26,0,"DC",2011,"North America",0
32604,0.627444757207741,0,0,25,0,"CHV",2011,"North America",0
32600,0.250071722778915,0,0.54,26,0,"SJ",2011,"North America",0
5e+06,0.675119407302701,0.31,0.21,30,1,"RBNY",2010,"Europe",6e+05
1400004,0.311799618656011,0,0,31,1,"CHI",2010,"North America",388057
220004,0.643270300014656,0.17,0.12,35,0,"KC",2010,"North America",0
178448,0.533645177792005,0.09,0.73,28,0,"LA",2010,"North America",10000
180000,0.713265271922306,0.38,0.38,27,1,"VAN",2010,"South America",0
65000,0.207090687042956,0.12,0.31,30,0,"NE",2010,"North America",98000
125000,0.455556677914391,0.14,0.07,31,0,"TOR",2010,"North America",18000
120000,0.118409510128538,0.18,0.54,30,1,"RSL",2010,"North America",8125
125000,0.616522286071061,0.42,0.05,28,0,"SJ",2010,"North America",0
120000,0.519559854800192,0,0,34,1,"COL",2010,"South America",0
70000,0.475191460089692,0.21,0.21,26,0,"LA",2010,"North America",31364
96000,0.826771692026935,0.13,0.13,32,0,"SEA",2010,"North America",0
85000,0.362552828436412,0.11,0.33,27,0,"HOU",2010,"North America",8250
93000,0.810395825527278,0.15,0.38,35,0,"CHV",2010,"South America",0
87731,0.245751766620161,0.23,0.15,31,0,"CHV",2010,"North America",0
75000,0.522899428294625,0.12,0.36,32,1,"RSL",2010,"South America",0
65000,0.587160578853102,0.13,0.38,26,0,"CHV",2010,"North America",2500
40000,0.0623455543069643,0,0,27,0,"COL",2010,"North America",25000
45000,0.714075077590215,0,0,22,0,"DAL",2010,"North America",2000
40000,0.315581917870848,0.11,0.33,33,0,"CLB",2010,"North America",2333
40000,0.834038176485506,0,0,31,0,"CHI",2010,"Europe",0
40000,0.456349782848754,0,0.37,26,0,"DC",2010,"North America",0
40000,0.426984655396109,0.1,0.1,28,0,"RBNY",2010,"Europe",0
200004,0.643270300014656,0,0.42,35,0,"KC",2009,"North America",0
180000,0.519559854800192,0.29,0.25,34,1,"KC",2009,"South America",0
169950,0.533645177792005,0,0.36,28,0,"LA",2009,"North America",10000
175008,0.826771692026935,0.09,0.17,32,0,"CLB",2009,"North America",0
155000,0.713265271922306,0.28,0.49,27,1,"VAN",2009,"South America",0
1e+05,0.455556677914391,0.16,0.16,31,0,"COL",2009,"North America",18750
65000,0.475191460089692,0,0,26,0,"LA",2009,"North America",31364
84000,0.810395825527278,0.13,0.13,35,0,"CHV",2009,"South America",0
79754,0.245751766620161,0.23,0.23,31,0,"LA",2009,"North America",0
64980,0.362552828436412,0.35,0.47,27,0,"HOU",2009,"North America",8250
70000,0.616522286071061,0.08,0.44,28,0,"SJ",2009,"North America",0
42000,0.522899428294625,0.18,0.18,32,1,"RSL",2009,"South America",0
34000,0.315581917870848,0.17,0.25,33,0,"CLB",2009,"North America",2333
34650,0.426984655396109,0.07,0,28,0,"RBNY",2009,"Europe",0
34008,0.834038176485506,0,0,31,0,"CHI",2009,"Europe",0
34000,0.456349782848754,0.3,0.15,26,0,"DC",2009,"North America",0
20100,0.587160578853102,0.15,0.22,26,0,"CHV",2009,"North America",0
720000,0.519559854800192,0.28,0.24,34,1,"KC",2008,"South America",1e+05
200004,0.643270300014656,0.28,0.28,35,0,"KC",2008,"North America",0
175008,0.826771692026935,0.34,0.17,32,0,"CLB",2008,"North America",0
147000,0.533645177792005,0.12,0.61,28,0,"LA",2008,"North America",10000
75000,0.455556677914391,0,0.12,31,0,"COL",2008,"North America",18750
80000,0.322904214364331,0.1,0.62,33,0,"DAL",2008,"North America",3000
75000,0.522899428294625,0,0.7,32,1,"RSL",2008,"South America",0
72504,0.245751766620161,0.48,0.34,31,0,"LA",2008,"North America",0
33000,0.426984655396109,0.22,0.11,28,0,"RBNY",2008,"Europe",0
33000,0.616522286071061,0.06,0.29,28,0,"SJ",2008,"North America",0
12900,0.587160578853102,0.15,0.3,26,0,"CHV",2008,"North America",0
12900,0.315581917870848,0,1.29,33,0,"CLB",2008,"North America",0
225000,0.826771692026935,0.21,0.36,32,0,"NE",2007,"North America",2500
140000,0.533645177792005,0.14,0.36,28,0,"LA",2007,"North America",10000
70000,0.455556677914391,0,0.08,31,0,"COL",2007,"North America",18750
80000,0.322904214364331,0.17,0.34,33,0,"DAL",2007,"North America",3000
30870,0.245751766620161,0,0.33,31,0,"LA",2007,"North America",0
17700,0.426984655396109,0.39,0,28,0,"RBNY",2007,"Europe",0
